record_id,month,year,AverageTemperature,AverageTemperatureUncertainty,City,country_id,Country,Latitude,Longitude
474496,01,1863,18.860999999999997,2.1529999999999996,Auckland,NEW,New Zealand,36.17S,175.03E
474497,02,1863,17.922000000000004,3.4410000000000016,Auckland,NEW,New Zealand,36.17S,175.03E
474498,03,1863,17.582,0.8210000000000011,Auckland,NEW,New Zealand,36.17S,175.03E
474499,04,1863,14.813,2.456,Auckland,NEW,New Zealand,36.17S,175.03E
474500,05,1863,13.912999999999998,1.6440000000000015,Auckland,NEW,New Zealand,36.17S,175.03E
474501,06,1863,12.285,1.7159999999999995,Auckland,NEW,New Zealand,36.17S,175.03E
474502,07,1863,11.520999999999999,2.4849999999999994,Auckland,NEW,New Zealand,36.17S,175.03E
474503,08,1863,10.535999999999998,2.4790000000000014,Auckland,NEW,New Zealand,36.17S,175.03E
474504,09,1863,11.109999999999998,1.7190000000000003,Auckland,NEW,New Zealand,36.17S,175.03E
474505,10,1863,12.857000000000001,2.4520000000000013,Auckland,NEW,New Zealand,36.17S,175.03E
474506,11,1863,12.96,2.774000000000001,Auckland,NEW,New Zealand,36.17S,175.03E
474507,12,1863,15.418,1.1730000000000018,Auckland,NEW,New Zealand,36.17S,175.03E
474508,01,1864,19.624,1.4040000000000004,Auckland,NEW,New Zealand,36.17S,175.03E
474509,02,1864,20.041000000000004,3.3430000000000013,Auckland,NEW,New Zealand,36.17S,175.03E
474510,03,1864,17.807,1.7959999999999985,Auckland,NEW,New Zealand,36.17S,175.03E
474511,04,1864,17.264,2.7080000000000006,Auckland,NEW,New Zealand,36.17S,175.03E
474512,05,1864,14.449999999999998,1.7440000000000013,Auckland,NEW,New Zealand,36.17S,175.03E
474513,06,1864,12.813,1.267,Auckland,NEW,New Zealand,36.17S,175.03E
474514,07,1864,13.008000000000001,1.0500000000000003,Auckland,NEW,New Zealand,36.17S,175.03E
474515,08,1864,10.396999999999998,1.9039999999999995,Auckland,NEW,New Zealand,36.17S,175.03E
474516,09,1864,13.280000000000001,1.6930000000000018,Auckland,NEW,New Zealand,36.17S,175.03E
474517,10,1864,14.631,1.1389999999999982,Auckland,NEW,New Zealand,36.17S,175.03E
474518,11,1864,16.572,1.8619999999999988,Auckland,NEW,New Zealand,36.17S,175.03E
474519,12,1864,19.086,2.054999999999999,Auckland,NEW,New Zealand,36.17S,175.03E
474520,01,1865,19.352,1.272,Auckland,NEW,New Zealand,36.17S,175.03E
474521,02,1865,19.773999999999997,1.3310000000000006,Auckland,NEW,New Zealand,36.17S,175.03E
474522,03,1865,18.542000000000005,0.8500000000000006,Auckland,NEW,New Zealand,36.17S,175.03E
474523,04,1865,16.477,1.1909999999999994,Auckland,NEW,New Zealand,36.17S,175.03E
474524,05,1865,13.814999999999998,1.2040000000000006,Auckland,NEW,New Zealand,36.17S,175.03E
474525,06,1865,12.139000000000001,1.4099999999999981,Auckland,NEW,New Zealand,36.17S,175.03E
474526,07,1865,11.326999999999998,1.1260000000000008,Auckland,NEW,New Zealand,36.17S,175.03E
474527,08,1865,11.18,0.9029999999999995,Auckland,NEW,New Zealand,36.17S,175.03E
474528,09,1865,12.308000000000002,0.7500000000000008,Auckland,NEW,New Zealand,36.17S,175.03E
474529,10,1865,12.791,0.9369999999999992,Auckland,NEW,New Zealand,36.17S,175.03E
474530,11,1865,15.256,0.9190000000000017,Auckland,NEW,New Zealand,36.17S,175.03E
474531,12,1865,16.602,1.419000000000001,Auckland,NEW,New Zealand,36.17S,175.03E
474532,01,1866,19.087000000000003,1.5140000000000005,Auckland,NEW,New Zealand,36.17S,175.03E
474533,02,1866,20.470000000000002,2.1499999999999986,Auckland,NEW,New Zealand,36.17S,175.03E
